type,key1,outcome,values
get,key0000000000005,1,val0000000000005
get,key0000000000047,1,val0000000000047
get,key0000000000039,1,val0000000000039
get,key0000000000038,1,val0000000000038
get,key0000000000003,1,val0000000000003
get,key0000000000049,1,val0000000000049
get,key0000000000059,1,val0000000000059
get,key0000000000093,1,val0000000000093
get,key0000000000026,1,val0000000000026
get,key0000000000073,1,val0000000000073
get,key0000000000055,1,val0000000000055
get,key0000000000084,1,val0000000000084
get,key0000000000051,1,val0000000000051
get,key0000000000040,1,val0000000000040
get,key0000000000091,1,val0000000000091
get,key0000000000089,1,val0000000000089
get,key0000000000028,1,val0000000000028
get,key0000000000092,1,val0000000000092
get,key0000000000015,1,val0000000000015
get,key0000000000004,1,val0000000000004
get,key0000000000100,1,val0000000000100
get,key0000000000046,1,val0000000000046
get,key0000000000079,1,val0000000000079
get,key0000000000048,1,val0000000000048
get,key0000000000068,1,val0000000000068
get,key0000000000076,1,val0000000000076
get,key0000000000096,1,val0000000000096
get,key0000000000021,1,val0000000000021
get,key0000000000001,1,val0000000000001
get,key0000000000086,1,val0000000000086
get,key0000000000067,1,val0000000000067
get,key0000000000016,1,val0000000000016
get,key0000000000097,1,val0000000000097
get,key0000000000098,1,val0000000000098
get,key0000000000022,1,val0000000000022
get,key0000000000053,1,val0000000000053
get,key0000000000033,1,val0000000000033
get,key0000000000034,1,val0000000000034
get,key0000000000050,1,val0000000000050
get,key0000000000054,1,val0000000000054
get,key0000000000056,1,val0000000000056
get,key0000000000085,1,val0000000000085
get,key0000000000099,1,val0000000000099
get,key0000000000023,1,val0000000000023
get,key0000000000095,1,val0000000000095
get,key0000000000007,1,val0000000000007
get,key0000000000042,1,val0000000000042
get,key0000000000012,1,val0000000000012
get,key0000000000063,1,val0000000000063
get,key0000000000070,1,val0000000000070
get,key0000000000018,1,val0000000000018
get,key0000000000008,1,val0000000000008
get,key0000000000090,1,val0000000000090
get,key0000000000041,1,val0000000000041
get,key0000000000035,1,val0000000000035
get,key0000000000083,1,val0000000000083
get,key0000000000060,1,val0000000000060
get,key0000000000066,1,val0000000000066
get,key0000000000064,1,val0000000000064
get,key0000000000013,1,val0000000000013
get,key0000000000078,1,val0000000000078
get,key0000000000044,1,val0000000000044
get,key0000000000010,1,val0000000000010
get,key0000000000027,1,val0000000000027
get,key0000000000030,1,val0000000000030
get,key0000000000037,1,val0000000000037
get,key0000000000087,1,val0000000000087
get,key0000000000088,1,val0000000000088
get,key0000000000025,1,val0000000000025
get,key0000000000062,1,val0000000000062
get,key0000000000006,1,val0000000000006
get,key0000000000065,1,val0000000000065
get,key0000000000069,1,val0000000000069
get,key0000000000058,1,val0000000000058
get,key0000000000036,1,val0000000000036
get,key0000000000043,1,val0000000000043
del,key0000000000024,1,
del,key0000000000019,1,
del,key0000000000011,1,
del,key0000000000081,1,
del,key0000000000077,1,
del,key0000000000080,1,
del,key0000000000074,1,
del,key0000000000032,1,
del,key0000000000045,1,
del,key0000000000061,1,
get,key0000000000024,0,
get,key0000000000019,0,
get,key0000000000011,0,
get,key0000000000081,0,
get,key0000000000077,0,
get,key0000000000080,0,
get,key0000000000074,0,
get,key0000000000032,0,
get,key0000000000045,0,
get,key0000000000061,0,
